,strain_full,strain_short,species,gc,accession,gc_percent,genome_components,chromosomes,total_seq_length,genes_nc,genes_coding,pseudogenes,total_genes
0,Klebsiella pneumoniae,WCHKP8F4,Klebsiella pneumoniae,GCF_002258145.4,Klebsiella pneumoniae,57.0,4,4,5501020,120,5245,124,5489
0,Klebsiella pneumoniae,WCHKP085031,Klebsiella pneumoniae,GCF_002258175.2,Klebsiella pneumoniae,56.5,5,5,5763518,122,5413,151,5686
0,Klebsiella pneumoniae,911021,Klebsiella pneumoniae,GCF_002269295.1,Klebsiella pneumoniae,57.0,1,1,5456357,122,5152,96,5370
0,Klebsiella pneumoniae,721005,Klebsiella pneumoniae,GCF_002278055.1,Klebsiella pneumoniae,57.0,1,1,5475860,122,5189,98,5409
0,Klebsiella pneumoniae,VBA2172,Klebsiella pneumoniae,GCF_002300675.1,Klebsiella pneumoniae,57.0,7,7,5617024,125,5193,238,5556
0,Klebsiella pneumoniae subsp. pneumoniae,KPCTRSRTH07,Klebsiella pneumoniae,GCF_002248115.2,Klebsiella pneumoniae subsp. pneumoniae,56.5,11,11,5827024,124,5523,141,5788
0,Klebsiella pneumoniae subsp. pneumoniae,AUSMDU00008079,Klebsiella pneumoniae,GCF_002249975.2,Klebsiella pneumoniae subsp. pneumoniae,57.0,5,5,5827698,125,5574,118,5817
0,Klebsiella pneumoniae subsp. pneumoniae,KPCTRSRTH01,Klebsiella pneumoniae,GCF_002251875.2,Klebsiella pneumoniae subsp. pneumoniae,56.5,7,7,5725168,115,5354,133,5602
0,Klebsiella quasipneumoniae,G4584,Klebsiella quasipneumoniae,GCF_002239895.2,Klebsiella quasipneumoniae,57.0,7,7,5946330,118,5662,203,5983
0,Klebsiella quasipneumoniae,HKUOPA4,Klebsiella quasipneumoniae,GCF_002240295.1,Klebsiella quasipneumoniae,58.0,1,1,5089790,116,4723,76,4915
0,Klebsiella quasipneumoniae,HKUOPJ4,Klebsiella quasipneumoniae,GCF_002240315.1,Klebsiella quasipneumoniae,58.0,1,1,5088626,108,4723,76,4907
0,Klebsiella quasipneumoniae,HKUOPL4,Klebsiella quasipneumoniae,GCF_002240335.1,Klebsiella quasipneumoniae,58.0,1,1,5087945,108,4723,77,4908
0,Klebsiella quasivariicola,KPN1705,Klebsiella quasivariicola,GCF_002269255.1,Klebsiella quasivariicola,56.5,4,4,5946706,124,5601,173,5898
0,Kocuria rhizophila,FDAARGOS_302,Kocuria rhizophila,GCF_002208685.2,Kocuria rhizophila,71.0,1,1,2697877,59,2285,33,2377
0,Kocuria varians,80,Kocuria varians,GCF_002250745.2,Kocuria varians,70.5,1,1,2823038,60,2359,54,2473
0,Labrenzia sp. VG12,VG12,Labrenzia sp. VG12,GCF_002237595.1,Labrenzia sp. VG12,59.5,1,1,5977548,75,5384,58,5517
0,Lacticaseibacillus paracasei,TK1501,Lacticaseibacillus paracasei,GCF_002257625.1,Lacticaseibacillus paracasei,46.5,1,1,2942538,77,2665,67,2809
0,Lacticaseibacillus rhamnosus,LR5,Lacticaseibacillus rhamnosus,GCF_002286235.1,Lacticaseibacillus rhamnosus,46.5,1,1,2972590,77,2660,36,2773
0,Lacticaseibacillus rhamnosus DSM 14870,DSM 14870,Lacticaseibacillus rhamnosus,GCF_002287945.1,Lacticaseibacillus rhamnosus DSM 14870,46.5,1,1,3013149,73,2697,47,2817
0,Lactiplantibacillus pentosus,SLC13,Lactiplantibacillus pentosus,GCF_002211885.1,Lactiplantibacillus pentosus,46.0,2,2,3583008,87,3105,51,3243
0,Lactiplantibacillus plantarum,LPL-1,Lactiplantibacillus plantarum,GCF_002205775.2,Lactiplantibacillus plantarum,44.5,2,2,3200572,87,2950,29,3066
0,Lactiplantibacillus plantarum,dm,Lactiplantibacillus plantarum,GCF_002220175.1,Lactiplantibacillus plantarum,44.5,1,1,3325676,100,3064,29,3193
0,Lactiplantibacillus plantarum,GB-LP1,Lactiplantibacillus plantarum,GCF_002220815.1,Lactiplantibacillus plantarum,44.5,1,1,3040388,83,2747,46,2876
0,Lactiplantibacillus plantarum,LP3,Lactiplantibacillus plantarum,GCF_002286275.1,Lactiplantibacillus plantarum,44.0,3,3,3329954,93,3026,26,3145
0,Lactiplantibacillus plantarum,BDGP2,Lactiplantibacillus plantarum,GCF_002290185.1,Lactiplantibacillus plantarum,44.0,5,5,3581586,106,3328,61,3495
0,Lactobacillus acidophilus,ATCC 53544,Lactobacillus acidophilus,GCF_002224305.1,Lactobacillus acidophilus,34.5,1,1,1991906,76,1787,60,1923
0,Lactobacillus acidophilus,LA1,Lactobacillus acidophilus,GCF_002286215.1,Lactobacillus acidophilus,34.5,1,1,1991195,76,1799,50,1925
0,Lactobacillus delbrueckii subsp. lactis,KCTC 3034,Lactobacillus delbrueckii,GCF_002285775.1,Lactobacillus delbrueckii subsp. lactis,49.0,1,1,2237608,124,1978,149,2251
0,Lactobacillus delbrueckii subsp. lactis DSM 20072,DSM 20072,Lactobacillus delbrueckii,GCF_002278095.1,Lactobacillus delbrueckii subsp. lactis DSM 20072,49.0,1,1,2165984,124,1904,128,2156
0,Lactobacillus gasseri DSM 14869,DSM 14869,Lactobacillus gasseri,GCF_002287905.1,Lactobacillus gasseri DSM 14869,35.0,3,3,1951552,92,1760,72,1924
0,Laribacter hongkongensis,HLGZ1,Laribacter hongkongensis,GCF_002215055.1,Laribacter hongkongensis,62.0,1,1,3424272,106,3186,74,3366
0,Latilactobacillus curvatus,MRS6,Latilactobacillus curvatus,GCF_002224425.1,Latilactobacillus curvatus,41.5,1,1,2114309,89,1962,28,2079
0,Latilactobacillus curvatus,KG6,Latilactobacillus curvatus,GCF_002224505.1,Latilactobacillus curvatus,42.0,2,2,2002764,90,1880,92,2062
0,Latilactobacillus sakei,FAM18311,Latilactobacillus sakei,GCF_002224565.1,Latilactobacillus sakei,40.5,3,3,2056563,92,1959,60,2111
0,Latilactobacillus sakei,WiKim0063,Latilactobacillus sakei,GCF_002250035.1,Latilactobacillus sakei,41.0,3,3,2075520,93,1964,22,2079
0,Legionella clemsonensis,CDC-D5610,Legionella clemsonensis,GCF_002240035.1,Legionella clemsonensis,39.0,1,1,3272100,57,2861,34,2952
0,Leptotrichia sp. oral taxon 498,F0590,Leptotrichia sp. oral taxon 498,GCF_002240055.1,Leptotrichia sp. oral taxon 498,29.5,1,1,2152181,63,2036,21,2120
0,Ligilactobacillus agilis,La3,Ligilactobacillus agilis,GCF_002240375.2,Ligilactobacillus agilis,41.5,5,5,2205859,117,2083,42,2242
0,Limosilactobacillus fermentum,LAC FRN-92,Limosilactobacillus fermentum,GCF_002192435.1,Limosilactobacillus fermentum,51.5,1,1,2063606,73,1867,218,2158
0,Limosilactobacillus fermentum,SK152,Limosilactobacillus fermentum,GCF_002242615.1,Limosilactobacillus fermentum,51.5,1,1,2092273,76,1970,82,2128
0,Listeria monocytogenes,FDA709873-33,Listeria monocytogenes,GCF_002208215.1,Listeria monocytogenes,38.0,2,2,3238513,89,3122,87,3298
0,Listeria monocytogenes,FORC_049,Listeria monocytogenes,GCF_002220325.1,Listeria monocytogenes,38.0,1,1,2935033,89,2800,23,2912
0,Listeria monocytogenes,FDA709873-31,Listeria monocytogenes,GCF_002285655.1,Listeria monocytogenes,38.0,2,2,3148164,89,3069,37,3195
0,Listeria monocytogenes,FDA971911-001-001,Listeria monocytogenes,GCF_002285835.1,Listeria monocytogenes,38.0,2,2,3148183,89,3078,30,3197
0,Listeria monocytogenes serotype 1/2a str. 02_5993,02-5993,Listeria monocytogenes,GCF_002213545.1,Listeria monocytogenes serotype 1/2a str. 02-5993,37.5,1,1,2999248,77,2945,20,3042
0,Listeria monocytogenes serotype 1/2a str. 04_5457,04-5457,Listeria monocytogenes,GCF_002213565.1,Listeria monocytogenes serotype 1/2a str. 04-5457,37.5,1,1,2999326,77,2945,20,3042
0,Listeria monocytogenes serotype 1/2a str. 08_6056,08-6056,Listeria monocytogenes,GCF_002213585.1,Listeria monocytogenes serotype 1/2a str. 08-6056,37.5,1,1,3032624,77,2990,20,3087
0,Listeria monocytogenes serotype 1/2a str. 08_7374,08-7374,Listeria monocytogenes,GCF_002213605.1,Listeria monocytogenes serotype 1/2a str. 08-7374,37.5,1,1,2999326,77,2945,20,3042
0,Listeria monocytogenes serotype 1/2a str. 08_7669,08-7669,Listeria monocytogenes,GCF_002213625.1,Listeria monocytogenes serotype 1/2a str. 08-7669,38.0,1,1,2954577,77,2884,17,2978
0,Listeria monocytogenes serotype 1/2a str. 10_0812,10-0812,Listeria monocytogenes,GCF_002214125.1,Listeria monocytogenes serotype 1/2a str. 10-0812,37.5,1,1,2942234,77,2879,11,2967
0,Listeria monocytogenes serotype 1/2a str. 10_0813,10-0813,Listeria monocytogenes,GCF_002214145.1,Listeria monocytogenes serotype 1/2a str. 10-0813,37.5,1,1,2942234,77,2879,11,2967
0,Listeria monocytogenes serotype 1/2a str. 10_0814,10-0814,Listeria monocytogenes,GCF_002214045.1,Listeria monocytogenes serotype 1/2a str. 10-0814,37.5,1,1,2999305,77,2945,20,3042
0,Listeria monocytogenes serotype 1/2a str. 10_0933,10-0933,Listeria monocytogenes,GCF_002213845.1,Listeria monocytogenes serotype 1/2a str. 10-0933,38.0,1,1,2870277,77,2775,14,2866
0,Listeria monocytogenes serotype 1/2a str. 10_0934,10-0934,Listeria monocytogenes,GCF_002213865.1,Listeria monocytogenes serotype 1/2a str. 10-0934,38.0,1,1,2870277,77,2773,17,2867
0,Listeria monocytogenes serotype 1/2a str. 10_1046,10-1046,Listeria monocytogenes,GCF_002213645.1,Listeria monocytogenes serotype 1/2a str. 10-1046,37.5,1,1,2998206,77,2942,17,3036
0,Listeria monocytogenes serotype 1/2a str. 10_1321,10-1321,Listeria monocytogenes,GCF_002213665.1,Listeria monocytogenes serotype 1/2a str. 10-1321,37.5,1,1,2999326,77,2946,19,3042
0,Listeria monocytogenes serotype 1/2a str. 10_4754,10-4754,Listeria monocytogenes,GCF_002213805.1,Listeria monocytogenes serotype 1/2a str. 10-4754,37.5,1,1,2910922,77,2838,17,2932
0,Listeria monocytogenes serotype 1/2a str. 10_4758,10-4758,Listeria monocytogenes,GCF_002213825.1,Listeria monocytogenes serotype 1/2a str. 10-4758,37.5,1,1,2910921,77,2832,17,2926
0,Listeria monocytogenes serotype 1/2a str. 10_5024,10-5024,Listeria monocytogenes,GCF_002213905.1,Listeria monocytogenes serotype 1/2a str. 10-5024,37.5,1,1,2999326,77,2946,19,3042
0,Listeria monocytogenes serotype 1/2a str. 95_0093,95-0093,Listeria monocytogenes,GCF_002213685.1,Listeria monocytogenes serotype 1/2a str. 95-0093,37.5,1,1,3000273,77,2948,19,3044
0,Listeria monocytogenes serotype 1/2a str. 98_2035,98-2035,Listeria monocytogenes,GCF_002213705.1,Listeria monocytogenes serotype 1/2a str. 98-2035,37.5,1,1,3032209,77,2990,20,3087
0,Listeria monocytogenes serotype 1/2a str. 99_6370,99-6370,Listeria monocytogenes,GCF_002213725.1,Listeria monocytogenes serotype 1/2a str. 99-6370,37.5,1,1,3032209,77,2990,20,3087
0,Listeria monocytogenes serotype 1/2b str. 10_0810,10-0810,Listeria monocytogenes,GCF_002214085.1,Listeria monocytogenes serotype 1/2b str. 10-0810,37.5,1,1,3017944,77,2944,19,3040
0,Listeria monocytogenes serotype 1/2b str. 10_0811,10-0811,Listeria monocytogenes,GCF_002214105.1,Listeria monocytogenes serotype 1/2b str. 10-0811,37.5,1,1,3017944,77,2940,20,3037
0,Listeria monocytogenes serotype 1/2c str. 10_5025,10-5025,Listeria monocytogenes,GCF_002213745.1,Listeria monocytogenes serotype 1/2c str. 10-5025,37.5,1,1,2967523,77,2910,15,3002
0,Listeria monocytogenes serotype 1/2c str. 10_5026,10-5026,Listeria monocytogenes,GCF_002213765.1,Listeria monocytogenes serotype 1/2c str. 10-5026,37.5,1,1,2967496,77,2910,15,3002
0,Listeria monocytogenes serotype 3c str. 10_5027,10-5027,Listeria monocytogenes,GCF_002213785.1,Listeria monocytogenes serotype 3c str. 10-5027,37.5,1,1,2965327,77,2912,18,3007
0,Listeria monocytogenes serotype 4b str. 02_1103,02-1103,Listeria monocytogenes,GCF_002213885.1,Listeria monocytogenes serotype 4b str. 02-1103,37.5,1,1,2979105,77,2882,25,2984
0,Listeria monocytogenes serotype 4b str. 02_1289,02-1289,Listeria monocytogenes,GCF_002213925.1,Listeria monocytogenes serotype 4b str. 02-1289,37.5,1,1,2979105,77,2882,25,2984
0,Listeria monocytogenes serotype 4b str. 02_1792,02-1792,Listeria monocytogenes,GCF_002213945.1,Listeria monocytogenes serotype 4b str. 02-1792,37.5,1,1,2979105,77,2880,25,2982
0,Listeria monocytogenes serotype 4b str. 02_6679,02-6679,Listeria monocytogenes,GCF_002213505.1,Listeria monocytogenes serotype 4b str. 02-6679,38.0,1,1,2908004,77,2788,18,2883
0,Listeria monocytogenes serotype 4b str. 02_6680,02-6680,Listeria monocytogenes,GCF_002213965.1,Listeria monocytogenes serotype 4b str. 02-6680,38.0,1,1,2908004,77,2788,18,2883
0,Listeria monocytogenes serotype 4b str. 10_0809,10-0809,Listeria monocytogenes,GCF_002214065.1,Listeria monocytogenes serotype 4b str. 10-0809,37.5,1,1,2975853,77,2880,26,2983
0,Listeria monocytogenes serotype 4b str. 81_0558,81-0558,Listeria monocytogenes,GCF_002213985.1,Listeria monocytogenes serotype 4b str. 81-0558,37.5,1,1,2971543,77,2877,26,2980
0,Listeria monocytogenes serotype 4b str. 81_0592,81-0592,Listeria monocytogenes,GCF_002214005.1,Listeria monocytogenes serotype 4b str. 81-0592,37.5,1,1,2975864,77,2883,26,2986
0,Mammaliicoccus sciuri,FDAARGOS_285,Mammaliicoccus sciuri,GCF_002209165.2,Mammaliicoccus sciuri,32.5,2,2,2853815,81,2742,20,2843
0,Mannheimia haemolytica,USDA-ARS-USMARC-191,Mannheimia haemolytica,GCF_002285575.1,Mannheimia haemolytica,41.0,2,2,2757078,89,2685,77,2851
0,Mannheimia haemolytica,USDA-ARS-USMARC-187,Mannheimia haemolytica,GCF_002285595.1,Mannheimia haemolytica,41.0,1,1,2746467,89,2660,94,2843
0,Mannheimia haemolytica,USDA-ARS-USMARC-186,Mannheimia haemolytica,GCF_002285615.1,Mannheimia haemolytica,41.0,1,1,2753764,89,2675,80,2844
0,Mannheimia haemolytica,USDA-ARS-USMARC-193,Mannheimia haemolytica,GCF_002285815.1,Mannheimia haemolytica,41.0,1,1,2753764,89,2675,87,2851
0,Maribacter cobaltidurans,B1,Maribacter cobaltidurans,GCF_002269385.1,Maribacter cobaltidurans,39.5,1,1,4639957,50,4064,33,4147
0,Melittangium boletus DSM 14713,DSM 14713,Melittangium boletus,GCF_002305855.1,Melittangium boletus DSM 14713,68.0,1,1,9910441,76,7998,160,8234
0,Mesoplasma chauliocola,CHPA-2,Mesoplasma chauliocola,GCF_002290085.1,Mesoplasma chauliocola,26.5,1,1,854780,38,729,8,775
0,Metamycoplasma hyosynoviae,M60,Metamycoplasma hyosynoviae,GCF_002214445.1,Metamycoplasma hyosynoviae,26.5,1,1,863547,38,710,285,1033
0,Methylovulum psychrotolerans,HV10_M2,Methylovulum psychrotolerans,GCF_002209385.1,Methylovulum psychrotolerans,50.5,1,1,4923400,53,4370,41,4464
0,Mucilaginibacter xinganensis,BJC16-A31,Mucilaginibacter xinganensis,GCF_002257585.1,Mucilaginibacter xinganensis,42.0,1,1,5301339,57,4540,11,4608
0,Mycobacterium avium subsp. hominissuis,CAM177,Mycobacterium avium,GCF_002304065.2,Mycobacterium avium subsp. hominissuis,68.5,1,1,5388949,53,4885,148,5086
0,Mycobacterium avium subsp. paratuberculosis,FDAARGOS_305,Mycobacterium avium,GCF_002208705.2,Mycobacterium avium subsp. paratuberculosis,69.0,1,1,4832477,53,4306,202,4561
0,Mycobacterium intracellulare,FLAC0181,Mycobacterium intracellulare,GCF_002285675.1,Mycobacterium intracellulare,67.5,2,2,5638643,51,5160,74,5285
0,Mycobacterium intracellulare,FLAC0133,Mycobacterium intracellulare,GCF_002285695.1,Mycobacterium intracellulare,68.0,1,1,5432063,52,4997,71,5120
0,Mycobacterium intracellulare subsp. chimaera,ZUERICH-2,Mycobacterium intracellulare,GCF_002219245.1,Mycobacterium intracellulare subsp. chimaera,67.0,5,5,6533653,53,5828,201,6082
0,Mycobacterium intracellulare subsp. chimaera,ZUERICH-1,Mycobacterium intracellulare,GCF_002219265.1,Mycobacterium intracellulare subsp. chimaera,67.5,6,6,6379602,53,5718,197,5968
0,Mycobacterium intracellulare subsp. chimaera,DSM 44623,Mycobacterium intracellulare,GCF_002219285.1,Mycobacterium intracellulare subsp. chimaera,67.5,3,3,6133600,53,5551,162,5766
0,Mycobacterium intracellulare subsp. chimaera,SJ42,Mycobacterium intracellulare,GCF_002240155.1,Mycobacterium intracellulare subsp. chimaera,67.5,3,3,5938632,52,5309,181,5542
0,Mycobacterium intracellulare subsp. chimaera,FLAC0070,Mycobacterium intracellulare,GCF_002287605.1,Mycobacterium intracellulare subsp. chimaera,67.5,3,3,5751541,52,5227,99,5378
0,Mycobacterium marseillense,FLAC0026,Mycobacterium marseillense,GCF_002285715.1,Mycobacterium marseillense,67.5,2,2,5285642,50,4809,73,4932
0,Mycobacterium tuberculosis,MTB2,Mycobacterium tuberculosis,GCF_002208235.1,Mycobacterium tuberculosis,65.5,1,1,4417716,51,3908,191,4150
0,Neisseria chenwenguii,10023,Neisseria chenwenguii,GCF_002216145.1,Neisseria chenwenguii,54.0,1,1,2496444,75,2328,53,2456
0,Neisseria sp. KEM232,KEM232,Neisseria sp. KEM232,GCF_002237445.1,Neisseria sp. KEM232,58.5,1,1,2371912,52,2267,90,2409
0,Nocardia brasiliensis,FDAARGOS_352,Nocardia brasiliensis,GCF_002209125.2,Nocardia brasiliensis,68.0,1,1,8935513,63,7968,86,8117
0,Nocardiopsis dassonvillei,HZNU_N_1,Nocardiopsis dassonvillei,GCF_002260685.1,Nocardiopsis dassonvillei,72.5,1,1,6641645,74,5485,40,5599
0,Nocardiopsis gilva YIM 90087,YIM 90087,Nocardiopsis gilva,GCF_002263495.1,Nocardiopsis gilva YIM 90087,69.5,1,1,6142152,79,5292,131,5502
0,Paenibacillus donghaensis,KCTC 13049,Paenibacillus donghaensis,GCF_002192415.1,Paenibacillus donghaensis,49.5,1,1,8542333,125,7372,230,7727
0,Paenibacillus kribbensis,AM49,Paenibacillus kribbensis,GCF_002240415.1,Paenibacillus kribbensis,46.5,1,1,5778702,126,4940,112,5178
0,Paenibacillus sp. RUD330,RUD330,Paenibacillus sp. RUD330,GCF_002243345.2,Paenibacillus sp. RUD330,59.0,2,2,5572653,109,4875,72,5056
0,Pantoea ananatis,YJ76,Pantoea ananatis,GCF_002224585.2,Pantoea ananatis,53.5,4,4,5146480,120,4586,123,4829
0,Parabacteroides sp. CT06,CT06,Parabacteroides sp. CT06,GCF_002257605.1,Parabacteroides sp. CT06,45.0,1,1,5372666,103,4350,58,4511
0,Paraburkholderia aromaticivorans,BN5,Paraburkholderia aromaticivorans,GCF_002278075.1,Paraburkholderia aromaticivorans,62.5,8,8,8907716,86,7832,209,8127
0,Paraphotobacterium marinum,NSCS20N07D,Paraphotobacterium marinum,GCF_002216855.1,Paraphotobacterium marinum,31.0,3,3,2593992,108,2329,94,2531
0,Pectobacterium polaris,NIBIO1392,Pectobacterium polaris,GCF_002288545.1,Pectobacterium polaris,51.5,1,1,5008416,104,4292,51,4447
0,Pediococcus pentosaceus,SRCM100194,Pediococcus pentosaceus,GCF_002202155.1,Pediococcus pentosaceus,37.0,3,3,1869792,73,1754,36,1863
0,Peribacillus simplex NBRC 15720 = DSM 1321,DSM 1321,Peribacillus simplex,GCF_002243645.1,Peribacillus simplex NBRC 15720 = DSM 1321,39.5,1,1,5645783,120,5189,153,5462
0,Plantactinospora sp. KBS50,KBS50,Plantactinospora sp. KBS50,GCF_002285795.1,Plantactinospora sp. KBS50,72.5,1,1,6689726,59,5439,391,5889
0,Prauserella marina,DSM 45268,Prauserella marina,GCF_002240355.1,Prauserella marina,67.5,2,2,6986413,59,6454,59,6572
0,Prevotella melaninogenica,FDAARGOS_306,Prevotella melaninogenica,GCF_002208725.2,Prevotella melaninogenica,40.5,2,2,3168230,65,2351,31,2447
0,Prosthecochloris sp. GSB1,TY Vent = GSB1 = Ty-1,Prosthecochloris sp. GSB1,GCF_002240205.1,Prosthecochloris sp. GSB1,55.5,1,1,2468479,58,2271,21,2350
0,Proteus mirabilis,AR_0156,Proteus mirabilis,GCF_002197405.1,Proteus mirabilis,39.0,4,4,4440469,107,4047,61,4215
0,Pseudoalteromonas espejiana DSM 9414,DSM 9414,Pseudoalteromonas espejiana,GCF_002221525.1,Pseudoalteromonas espejiana DSM 9414,40.0,2,2,4500451,130,3897,31,4058
0,Pseudoalteromonas nigrifaciens,KMM 661,Pseudoalteromonas nigrifaciens,GCF_002221505.1,Pseudoalteromonas nigrifaciens,40.0,3,3,4274777,139,3761,60,3960
0,Pseudoalteromonas piscicida,DE2-B,Pseudoalteromonas piscicida,GCF_002208135.1,Pseudoalteromonas piscicida,43.0,2,2,5317048,142,4442,161,4745
0,Pseudomonas aeruginosa,Pa124,Pseudomonas aeruginosa,GCF_002192475.1,Pseudomonas aeruginosa,65.5,1,1,7008516,78,6398,101,6577
0,Pseudomonas aeruginosa,Pa58,Pseudomonas aeruginosa,GCF_002192495.1,Pseudomonas aeruginosa,65.5,1,1,7241575,79,6574,214,6867
0,Pseudomonas aeruginosa,Pa84,Pseudomonas aeruginosa,GCF_002205335.1,Pseudomonas aeruginosa,66.0,1,1,6566724,81,5977,107,6165
0,Pseudomonas aeruginosa,Pa127,Pseudomonas aeruginosa,GCF_002205355.1,Pseudomonas aeruginosa,65.5,1,1,7148302,78,6540,146,6764
0,Pseudomonas aeruginosa,Pa1242,Pseudomonas aeruginosa,GCF_002205375.1,Pseudomonas aeruginosa,65.5,1,1,7050510,83,6256,299,6638
0,Pseudomonas aeruginosa,Pa1207,Pseudomonas aeruginosa,GCF_002208645.1,Pseudomonas aeruginosa,65.5,1,1,7411863,83,6750,195,7028
0,Pseudomonas aeruginosa,PA83,Pseudomonas aeruginosa,GCF_002215345.1,Pseudomonas aeruginosa,65.5,2,2,7214314,79,6603,78,6760
0,Pseudomonas aeruginosa,L10,Pseudomonas aeruginosa,GCF_002223805.1,Pseudomonas aeruginosa,66.0,1,1,6661962,79,5998,70,6147
0,Pseudomonas aeruginosa,Ocean-1155,Pseudomonas aeruginosa,GCF_002237405.1,Pseudomonas aeruginosa,66.0,1,1,6952237,81,6384,87,6552
0,Pseudomonas aeruginosa,Ocean-1175,Pseudomonas aeruginosa,GCF_002237425.1,Pseudomonas aeruginosa,66.0,1,1,6943220,81,6385,81,6547
0,Pseudomonas aeruginosa,PPF-1,Pseudomonas aeruginosa,GCF_002287725.2,Pseudomonas aeruginosa,65.5,1,1,6930893,78,6266,96,6440
0,Pseudomonas protegens,FDAARGOS_307,Pseudomonas protegens,GCF_002208745.2,Pseudomonas protegens,63.0,1,1,7075815,90,6261,53,6404
0,Pseudosulfitobacter pseudonitzschiae,SMR1,Pseudosulfitobacter pseudonitzschiae,GCF_002222635.1,Pseudosulfitobacter pseudonitzschiae,59.5,8,8,5121602,53,4814,134,5001
0,Psychrobacter cryohalolentis,FDAARGOS_308,Psychrobacter cryohalolentis,GCF_002208765.2,Psychrobacter cryohalolentis,42.0,2,2,3108645,69,2523,26,2618
0,Qipengyuania flava,VG1,Qipengyuania flava,GCF_002237615.1,Qipengyuania flava,63.0,1,1,3184307,61,3030,49,3140
0,Ralstonia solanacearum,CQPS-1,Ralstonia solanacearum,GCF_002220465.1,Ralstonia solanacearum,66.5,2,2,5893444,74,4975,254,5303
0,Raoultella ornithinolytica,Ro24724,Raoultella ornithinolytica,GCF_002214825.1,Raoultella ornithinolytica,55.0,2,2,5944351,126,5385,120,5631
0,Rhizobium leguminosarum bv. viciae,BIHB 1148,Rhizobium leguminosarum,GCF_002240185.1,Rhizobium leguminosarum bv. viciae,61.0,7,7,6957630,63,6492,233,6788
0,Rhizobium leguminosarum bv. viciae,BIHB 1217,Rhizobium leguminosarum,GCF_002243365.1,Rhizobium leguminosarum bv. viciae,60.5,7,7,7952546,68,7427,272,7767
0,Rhizobium sp. 11515TR,10195,Rhizobium sp. 11515TR,GCF_002277895.1,Rhizobium sp. 11515TR,59.0,3,3,7070317,68,6499,129,6696
0,Rhodococcus pyridinivorans,GF3,Rhodococcus pyridinivorans,GCF_002269365.1,Rhodococcus pyridinivorans,67.5,1,1,5303895,69,4768,152,4989
0,Rickettsia sp. MEAM1 (Bemisia tabaci),MEAM1,Rickettsia endosymbiont of Bemisia tabaci,GCF_002285905.1,Rickettsia sp. MEAM1 (Bemisia tabaci),32.0,1,1,1378618,39,1404,111,1554
0,Salmonella bongori serovar 66:z41:_ str. SA19983605,SA19983605,Salmonella bongori,GCF_002211925.1,Salmonella bongori serovar 66:z41:- str. SA19983605,51.0,1,1,4468959,118,3981,123,4222
0,Salmonella enterica subsp. diarizonae serovar 50:k:z str. MZ0080,MZ0080,Salmonella enterica,GCF_002211965.1,Salmonella enterica subsp. diarizonae serovar 50:k:z str. MZ0080,51.5,1,1,5076950,122,4506,207,4835
0,Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251,SA20044251,Salmonella enterica,GCF_002211825.1,Salmonella enterica subsp. diarizonae serovar 65:c:z str. SA20044251,51.0,3,3,5066092,118,4516,182,4816
0,Salmonella enterica subsp. enterica,ST1120,Salmonella enterica,GCF_002201855.1,Salmonella enterica subsp. enterica,52.0,2,2,4861864,125,4512,91,4728
0,Salmonella enterica subsp. enterica,08-00436,Salmonella enterica,GCF_002238275.1,Salmonella enterica subsp. enterica,51.5,3,3,5070907,117,4658,157,4932
0,Salmonella enterica subsp. enterica serovar Braenderup,SA20026289,Salmonella enterica,GCF_002234775.1,Salmonella enterica subsp. enterica serovar Braenderup,52.0,1,1,4734880,119,4349,111,4579
0,Salmonella enterica subsp. enterica serovar Corvallis,CFSAN059903,Salmonella enterica,GCF_002265865.2,Salmonella enterica subsp. enterica serovar Corvallis,52.0,1,1,4796034,124,4361,116,4601
0,Salmonella enterica subsp. enterica serovar Derby,SA20035215,Salmonella enterica,GCF_002234755.2,Salmonella enterica subsp. enterica serovar Derby,51.5,2,2,5086889,116,4667,142,4925
0,Salmonella enterica subsp. enterica serovar Dublin,CFSAN059898,Salmonella enterica,GCF_002266085.2,Salmonella enterica subsp. enterica serovar Dublin,52.0,2,2,4918251,119,4499,217,4835
0,Salmonella enterica subsp. enterica serovar Eastbourne,CFSAN059883,Salmonella enterica,GCF_002266205.2,Salmonella enterica subsp. enterica serovar Eastbourne,52.0,1,1,4568154,119,4161,127,4407
0,Salmonella enterica subsp. enterica serovar Enteritidis,FORC_052,Salmonella enterica,GCF_002220345.1,Salmonella enterica subsp. enterica serovar Enteritidis,52.0,1,1,4686254,122,4272,162,4556
0,Salmonella enterica subsp. enterica serovar Hadar,FDAARGOS_313,Salmonella enterica,GCF_002209205.2,Salmonella enterica subsp. enterica serovar Hadar,52.0,4,4,4944234,127,4580,157,4864
0,Salmonella enterica subsp. enterica serovar India str. SA20085604,SA20085604,Salmonella enterica,GCF_002208195.1,Salmonella enterica subsp. enterica serovar India str. SA20085604,51.5,2,2,5868736,122,5545,242,5909
0,Salmonella enterica subsp. enterica serovar Indiana,D90,Salmonella enterica,GCF_002224405.1,Salmonella enterica subsp. enterica serovar Indiana,51.5,5,5,5119391,120,4710,175,5005
0,Salmonella enterica subsp. enterica serovar Macclesfield str. S_1643,S-1643,Salmonella enterica,GCF_002211585.1,Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643,51.5,3,3,5268613,115,4740,281,5136
